Data Source,Region,Basin,Catchment,Site Code,Site Name,Latitude,Longitude,Datum,Sample Reference,Sampling Year,Date Time,Collection Method,Sampling Depth (m),Laboratory,Analysis Method,Analyte Group,Analyte,Operator,Value,Unit,Quality Code,Comment,Project Name,Project Description
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Prometryn","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Simazine","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Tebuthiuron","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Ametryn","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Atrazine","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Diuron","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Prometryn","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Simazine","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019008","2006-2007","30/01/2007 18:00","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Tebuthiuron","<","0.01","Micrograms/Litre","910","rise","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Ametryn","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Atrazine","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Diuron","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Prometryn","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Simazine","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019010","2006-2007","01/02/2007 12:15","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Tebuthiuron","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Ametryn","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Atrazine","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Diuron","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Prometryn","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Simazine","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019011","2006-2007","01/02/2007 12:25","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Tebuthiuron","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Ametryn","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Atrazine","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Diuron","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Prometryn","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Simazine","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019013","2006-2007","02/02/2007 10:50","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Tebuthiuron","<","0.01","Micrograms/Litre","910","falling","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","2,4-D","<","0.05","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Ametryn","<","0.01","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Atrazine","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Chlorpyrifos","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Diuron","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Fipronil","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Fluroxypyr","<","0.05","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Haloxyfop (acid)","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Imazapic","<","0.01","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Imidacloprid","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Isoxaflutole metabolite (DKN)","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","MCPA (Monochlorophenoxyacetic acid)","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Metolachlor","<","0.01","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Metribuzin","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Metsulfuron-methyl","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Pendimethalin","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Prometryn","<","0.02","Micrograms/Litre","10","","",""
"WQI","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","332438","2017-2018","16/08/2017 07:15","Manual","0.3","Queensland Health","Liquid chromatography mass spectrometry (Direct Injection)","Pesticides","Simazine","<","0.01","Micrograms/Litre","10","","",""
