Region,BasinOrZone,SubBasinOrSubZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,Din,HighDo,LowDo,Tp,Turbidity,Frp,Nutrients,MinDo,PhysChem,OverallWq,DinWeighted,FrpWeighted,HighDoWeighted,LowDoWeighted,TpWeighted,TurbidityWeighted,NutrientsWeighted,PhysChemWeighted,OverallWqWeighted,DinGrade,HighDoGrade,LowDoGrade,TpGrade,TurbidityGrade,FrpGrade,NutrientsGrade,MinDoGrade,PhysChemGrade,OverallWqGrade,DinWeightedGrade,FrpWeightedGrade,HighDoWeightedGrade,LowDoWeightedGrade,TpWeightedGrade,TurbidityWeightedGrade,NutrientsWeightedGrade,PhysChemWeightedGrade,OverallWqWeightedGrade
DT,Black,Rollingstone Creek,Saltwater Creek,2.8641617477688,0.271426527281668,52.635,90,90,90,75.517,90,71.3175,90,82.7585,77.038,14.286535263470594,24.42838745535012,24.42838745535012,24.42838745535012,24.42838745535012,20.49731706072972,19.357461359410355,22.46285225803992,20.910156808725137,C,A,A,A,B,A,B,A,A,B,E,D,D,D,D,E,E,D,E
DT,Black,Rollingstone Creek,Rollingstone Creek,2.8641617477688,0.271426527281668,27.84,76.421,90,90,62.008,90,58.92,76.421,69.2145,64.06725,7.556514519521637,24.42838745535012,20.74268664139235,24.42838745535012,24.42838745535012,16.83061610368167,15.992450987435879,18.78665137253701,17.389551179986444,D,B,A,A,B,A,C,B,B,B,E,D,E,D,D,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,2.77989518739146,0.263440881964321,36.54,90,90,71.04,32.973,90,53.790000000000006,90,61.4865,57.63825,9.62612982697629,23.70967937678889,23.70967937678889,23.70967937678889,18.71484025474537,8.686436201009556,14.17048504086083,16.198057788899224,15.184271414880026,D,A,A,B,D,A,C,A,B,C,E,D,D,D,E,E,E,E,E
DT,Ross,Bohle River,NA,25.2953062155325,0.182728517021832,45,90,33.457,30.545,64.629,NA,37.7725,NA,49.043000000000006,43.40775,8.22278326598244,NA,16.44556653196488,6.113547993999433,5.5814425524318585,11.80956132660398,6.9021129092071485,8.961554660301708,7.931833784754428,C,A,D,D,B,E,D,E,C,C,E,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,NA,11.0158865359966,0.079576684830461,90,90,47.369,90,90,NA,90,NA,68.6845,79.34225,7.16190163474149,NA,7.16190163474149,3.769467983734107,7.16190163474149,7.16190163474149,7.16190163474149,5.465684809237799,6.313793221989645,A,A,C,A,A,E,A,E,B,B,E,E,E,E,E,E,E,E,E
DT,Ross,Stuart Creek,NA,15.9533669958627,0.11524411160792,90,90,68.882,70.135,42.447,NA,80.0675,NA,55.664500000000004,67.866,10.3719700447128,NA,10.3719700447128,7.938244895776746,8.08264576762147,4.891766805421381,9.227307906167134,6.415005850599063,7.821156878383099,A,A,B,B,C,E,B,E,C,B,E,E,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,NA,86.1665216612641,0.622450686539787,90,90,65.211,74.357,58.464,NA,82.1785,NA,61.8375,72.008,56.02056178858083,NA,56.02056178858083,40.590631719946046,46.28356569903894,36.39095693786211,51.15206374380988,38.49079432890407,44.821429036356975,A,A,B,B,C,E,A,E,B,B,C,E,C,D,C,D,C,D,C
DT,Black,Bluewater Creek,NA,4.90819739478064,0.465132590754011,58.40866666666667,90,83.646,74.867,27.455666666666666,NA,66.63783333333333,NA,55.55083333333334,61.09433333333334,27.16777444915411,NA,41.86193316786099,38.90648068621,34.82308167198054,12.770525367545208,30.995428060567324,25.838503026877607,28.416965543722466,C,A,A,B,D,E,B,E,C,B,D,E,C,D,D,E,D,D,D
DT,Black,Rollingstone Creek,NA,2.8641617477688,0.271426527281668,47.741,85.47366666666667,60.812,90,75.84166666666667,NA,68.87049999999999,NA,66.06366666666666,67.46708333333333,12.958173838954112,NA,23.1998205173642,16.505989977052792,24.42838745535012,20.585440206587172,18.693280647152115,17.93143162282702,18.312356134989567,C,A,C,A,B,E,B,E,B,B,E,E,D,E,D,E,E,E,E
DT,Black,Crystal Creek,NA,2.77989518739146,0.263440881964321,36.54,90,90,71.04,32.973,NA,53.790000000000006,NA,61.4865,57.63825,9.62612982697629,NA,23.70967937678889,23.70967937678889,18.71484025474537,8.686436201009556,14.17048504086083,16.198057788899224,15.184271414880026,D,A,A,B,D,E,C,E,B,C,E,E,D,D,E,E,E,E,E
DT,Ross,NA,NA,138.4310814086559,NA,75,90,49.29083333333333,64.26366666666667,68.3615,NA,69.63183333333333,NA,58.826166666666666,64.229,81.77721673401756,0,90,58.41189259345633,67.10955565383375,60.25418670462896,74.44338619392566,59.33303964904265,66.88821292148414,B,A,C,B,B,E,B,E,C,B,A,E,A,C,B,C,B,C,B
DT,Black,NA,NA,10.552254329940899,NA,50.712714285714284,88.06014285714286,74.76771428571429,80.80585714285715,48.980714285714285,NA,65.75928571428571,NA,60.90428571428571,63.331785714285715,49.752078115084515,0,88.77143306201408,79.12215004005168,77.96630938207602,42.04240177514194,63.85919374858027,59.96799243860385,61.913593093592056,C,A,B,B,C,E,B,E,C,B,C,E,A,B,B,C,B,C,B
